GEO_ID	NAME	ZIP	S1901_C01_012E	S1901_C01_012M	S1901_C01_013E	S1901_C01_013M
id	Geographic Area Name	Zip Code	Estimate!!Households!!Median income (dollars)	Margin of Error!!Households MOE!!Median income (dollars)	Estimate!!Households!!Mean income (dollars)	Margin of Error!!Households MOE!!Mean income (dollars)
8600000US00601	ZCTA5 00601	00601	13092	1049	18893	1780
8600000US00602	ZCTA5 00602	00602	16358	1082	25019	1706
8600000US00603	ZCTA5 00603	00603	16603	963	28089	2197
8600000US00606	ZCTA5 00606	00606	12832	2393	16419	1814
8600000US00610	ZCTA5 00610	00610	19309	1555	26909	1770
8600000US00612	ZCTA5 00612	00612	18171	944	25370	1372
8600000US00616	ZCTA5 00616	00616	16018	2211	24096	3644
8600000US00617	ZCTA5 00617	00617	16735	1795	23260	1906
8600000US00622	ZCTA5 00622	00622	15206	1774	30086	9805
8600000US00623	ZCTA5 00623	00623	16280	1084	24191	1641
8600000US00624	ZCTA5 00624	00624	17578	1515	24897	1681
8600000US00627	ZCTA5 00627	00627	16831	996	26926	2839
8600000US00631	ZCTA5 00631	00631	9681	2830	16698	4398
8600000US00637	ZCTA5 00637	00637	16887	1731	25245	1954
8600000US00638	ZCTA5 00638	00638	14916	1612	22000	2880
8600000US00641	ZCTA5 00641	00641	16795	1139	22726	1480
8600000US00646	ZCTA5 00646	00646	29320	3963	47960	3986
8600000US00647	ZCTA5 00647	00647	13674	1285	17027	1931
8600000US00650	ZCTA5 00650	00650	19631	3082	24338	2403
8600000US00652	ZCTA5 00652	00652	21650	2388	27835	4173
8600000US00653	ZCTA5 00653	00653	12915	1420	18700	2854
8600000US00656	ZCTA5 00656	00656	16902	1342	23295	1480
8600000US00659	ZCTA5 00659	00659	17201	1310	27665	2203
8600000US00660	ZCTA5 00660	00660	19394	2271	27632	3085
8600000US00662	ZCTA5 00662	00662	17180	1326	24342	1830
8600000US00664	ZCTA5 00664	00664	15253	2928	20670	2297
8600000US00667	ZCTA5 00667	00667	13766	1045	19838	1683
8600000US00669	ZCTA5 00669	00669	14816	1676	22513	2484
8600000US00670	ZCTA5 00670	00670	13427	2770	20065	2816
8600000US00674	ZCTA5 00674	00674	19211	1991	27906	1762
8600000US00676	ZCTA5 00676	00676	14146	1309	23261	3343
8600000US00677	ZCTA5 00677	00677	21673	3954	28509	2654
8600000US00678	ZCTA5 00678	00678	16200	2190	24348	2978
8600000US00680	ZCTA5 00680	00680	13911	751	24073	1873
8600000US00682	ZCTA5 00682	00682	15029	1829	28033	2126
8600000US00683	ZCTA5 00683	00683	15523	1663	24587	2334
8600000US00685	ZCTA5 00685	00685	14617	949	22279	2201
8600000US00687	ZCTA5 00687	00687	20589	1205	27362	1907
8600000US00688	ZCTA5 00688	00688	17231	1840	23143	1826
8600000US00690	ZCTA5 00690	00690	17622	5325	25981	4389
8600000US00692	ZCTA5 00692	00692	19094	1195	33845	3318
8600000US00693	ZCTA5 00693	00693	19119	1070	27788	1666
8600000US00694	ZCTA5 00694	00694	-	**	N	N
8600000US00698	ZCTA5 00698	00698	15019	1086	21994	1059
8600000US00703	ZCTA5 00703	00703	17129	1542	26613	3135
8600000US00704	ZCTA5 00704	00704	14293	1877	19703	2551
8600000US00705	ZCTA5 00705	00705	19516	1383	27468	2458
8600000US00707	ZCTA5 00707	00707	19596	3574	25494	4456
8600000US00714	ZCTA5 00714	00714	17095	2179	21803	1971
8600000US00715	ZCTA5 00715	00715	13070	1684	17954	4308
8600000US00716	ZCTA5 00716	00716	18818	1619	34864	3919
8600000US00717	ZCTA5 00717	00717	12251	1529	23360	1930
8600000US00718	ZCTA5 00718	00718	19318	1806	24985	2150
8600000US00719	ZCTA5 00719	00719	19757	2319	25912	1946
8600000US00720	ZCTA5 00720	00720	13408	1257	20729	2101
8600000US00723	ZCTA5 00723	00723	15826	1839	22598	2056
8600000US00725	ZCTA5 00725	00725	20920	1142	32734	1558
8600000US00727	ZCTA5 00727	00727	31401	1729	44456	3020
8600000US00728	ZCTA5 00728	00728	19047	948	26589	1614
8600000US00729	ZCTA5 00729	00729	20920	1473	32349	2543
8600000US00730	ZCTA5 00730	00730	15431	821	27953	3301
8600000US00731	ZCTA5 00731	00731	17083	3436	28562	5822
8600000US00735	ZCTA5 00735	00735	19184	2673	32298	6847
8600000US00736	ZCTA5 00736	00736	21000	1371	30071	1442
8600000US00738	ZCTA5 00738	00738	19404	1339	29302	3028
8600000US00739	ZCTA5 00739	00739	20098	1581	30552	2034
8600000US00740	ZCTA5 00740	00740	13136	5186	16074	3110
8600000US00741	ZCTA5 00741	00741	22073	8347	26864	3130
8600000US00745	ZCTA5 00745	00745	22782	1256	30823	1828
8600000US00751	ZCTA5 00751	00751	17567	1526	23747	1775
8600000US00754	ZCTA5 00754	00754	18895	1551	27659	2140
8600000US00757	ZCTA5 00757	00757	17640	2025	27372	2750
8600000US00765	ZCTA5 00765	00765	15271	2912	22694	3312
8600000US00766	ZCTA5 00766	00766	19746	1446	29675	5059
8600000US00767	ZCTA5 00767	00767	15999	1365	22901	1791
8600000US00769	ZCTA5 00769	00769	19928	2071	27878	1908
8600000US00771	ZCTA5 00771	00771	21499	1776	30202	2537
8600000US00772	ZCTA5 00772	00772	15658	1167	21300	1376
8600000US00773	ZCTA5 00773	00773	20829	2080	29220	2077
8600000US00775	ZCTA5 00775	00775	23281	4377	27801	3545
8600000US00777	ZCTA5 00777	00777	19139	1610	25608	1502
8600000US00778	ZCTA5 00778	00778	33763	2375	49325	4851
8600000US00780	ZCTA5 00780	00780	24287	3232	39409	8272
8600000US00782	ZCTA5 00782	00782	12492	1329	17780	1557
8600000US00783	ZCTA5 00783	00783	14748	1363	21241	1553
8600000US00784	ZCTA5 00784	00784	16680	1313	25005	2164
8600000US00786	ZCTA5 00786	00786	-	**	32691	14662
8600000US00791	ZCTA5 00791	00791	19793	1105	31091	3223
8600000US00794	ZCTA5 00794	00794	15970	1628	22969	2497
8600000US00795	ZCTA5 00795	00795	20700	1095	29181	2065
8600000US00901	ZCTA5 00901	00901	20943	3359	66882	12542
8600000US00906	ZCTA5 00906	00906	102917	38673	95583	25897
8600000US00907	ZCTA5 00907	00907	33167	4534	67930	8801
8600000US00909	ZCTA5 00909	00909	16875	2691	30136	3803
8600000US00911	ZCTA5 00911	00911	32833	4575	56272	8089
8600000US00912	ZCTA5 00912	00912	22268	3482	37092	5253
8600000US00913	ZCTA5 00913	00913	6878	2268	18381	4039
8600000US00915	ZCTA5 00915	00915	13839	951	21287	3163
8600000US00917	ZCTA5 00917	00917	14307	1172	29188	6772
8600000US00918	ZCTA5 00918	00918	23434	3449	41252	3652
8600000US00920	ZCTA5 00920	00920	25841	1838	34757	2402
8600000US00921	ZCTA5 00921	00921	19358	1517	30302	2705
8600000US00923	ZCTA5 00923	00923	14241	1093	24911	4504
8600000US00924	ZCTA5 00924	00924	18832	1762	31658	2293
8600000US00925	ZCTA5 00925	00925	9468	1562	21623	6703
8600000US00926	ZCTA5 00926	00926	34781	1608	59260	2931
8600000US00927	ZCTA5 00927	00927	33502	2665	54472	5416
8600000US00934	ZCTA5 00934	00934	-	**	N	N
8600000US00936	ZCTA5 00936	00936	-	**	-	**
8600000US00949	ZCTA5 00949	00949	26392	1153	35713	1708
8600000US00950	ZCTA5 00950	00950	-	**	-	**
8600000US00951	ZCTA5 00951	00951	-	**	-	**
8600000US00952	ZCTA5 00952	00952	14911	1812	21856	2193
8600000US00953	ZCTA5 00953	00953	29146	1461	42449	1952
8600000US00956	ZCTA5 00956	00956	23149	1325	31000	1207
8600000US00957	ZCTA5 00957	00957	24612	1637	34386	1719
8600000US00959	ZCTA5 00959	00959	30049	2019	40487	2406
8600000US00960	ZCTA5 00960	00960	-	**	-	**
8600000US00961	ZCTA5 00961	00961	29197	2369	42875	2806
8600000US00962	ZCTA5 00962	00962	16062	1227	25927	1761
8600000US00965	ZCTA5 00965	00965	14821	1703	25662	7250
8600000US00966	ZCTA5 00966	00966	47315	3796	84157	11648
8600000US00968	ZCTA5 00968	00968	48175	8907	77584	11049
8600000US00969	ZCTA5 00969	00969	51910	3409	77646	5078
8600000US00971	ZCTA5 00971	00971	20608	1638	36003	4510
8600000US00976	ZCTA5 00976	00976	31304	1046	43468	2671
8600000US00979	ZCTA5 00979	00979	36270	4493	60134	6313
8600000US00982	ZCTA5 00982	00982	24970	2555	31817	2150
8600000US00983	ZCTA5 00983	00983	26259	2216	34298	1535
8600000US00985	ZCTA5 00985	00985	25338	1308	34030	1736
8600000US00987	ZCTA5 00987	00987	33042	2029	43558	2464
8600000US01001	ZCTA5 01001	01001	62144	5097	78870	4937
8600000US01002	ZCTA5 01002	01002	55858	6890	85653	5028
8600000US01003	ZCTA5 01003	01003	"2,500-"	***	N	N
8600000US01005	ZCTA5 01005	01005	68278	9535	94293	10094
8600000US01007	ZCTA5 01007	01007	93300	4630	114222	7773
8600000US01008	ZCTA5 01008	01008	75250	11819	85155	9029
8600000US01009	ZCTA5 01009	01009	81250	47876	77654	27532
8600000US01010	ZCTA5 01010	01010	84471	14677	98962	12492
8600000US01011	ZCTA5 01011	01011	64904	16599	77938	10003
8600000US01012	ZCTA5 01012	01012	64091	10801	79291	15316
8600000US01013	ZCTA5 01013	01013	40594	3134	55988	3971
8600000US01020	ZCTA5 01020	01020	58226	2647	70381	3837
8600000US01022	ZCTA5 01022	01022	41863	5923	52661	6688
8600000US01026	ZCTA5 01026	01026	55268	8770	68135	8232
8600000US01027	ZCTA5 01027	01027	62772	5581	81225	6894
8600000US01028	ZCTA5 01028	01028	88442	2952	103313	7591
8600000US01029	ZCTA5 01029	01029	72813	45057	82166	19103
8600000US01030	ZCTA5 01030	01030	74139	4181	92404	6569
8600000US01031	ZCTA5 01031	01031	42188	9786	63356	12122
8600000US01032	ZCTA5 01032	01032	80500	13923	79783	9701
8600000US01033	ZCTA5 01033	01033	95987	13215	106998	14152
8600000US01034	ZCTA5 01034	01034	84926	8163	96256	6224
8600000US01035	ZCTA5 01035	01035	64276	11982	96514	17069
8600000US01036	ZCTA5 01036	01036	85943	6684	104410	10253
8600000US01037	ZCTA5 01037	01037	96302	12131	101734	17160
8600000US01038	ZCTA5 01038	01038	66818	9321	82873	8920
8600000US01039	ZCTA5 01039	01039	77679	25154	99023	18196
8600000US01040	ZCTA5 01040	01040	40656	2831	58425	2778
